CCN,Facility,Street,City,State,ZIP,Transplant Program Type Code,Transplant Program Type,Original Participation Date,Effective Date,Program Recertification Date,OPTN Code,Original Program?
039801,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,AHO,Adult Heart Only,5/4/2007,4/30/2009,10/31/2023,AZMC,Y
039801,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,AKO,Adult Kidney Only,12/20/1999,4/30/2009,10/31/2023,AZMC,Y
039801,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,ALI,Adult Liver Only,3/8/2001,4/30/2009,10/31/2023,AZMC,Y
039801,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,APA,Adult Pancreas,12/20/1999,4/30/2009,10/31/2023,AZMC,Y
039802,BANNER- UNIVERSITY  MEDICAL CENTER PHOENIX,1441 N 12TH,PHOENIX,AZ,85006,AHO,Adult Heart Only,9/14/2020,9/14/2020,9/6/2023,AZGS,N
039802,BANNER- UNIVERSITY  MEDICAL CENTER PHOENIX,1441 N 12TH,PHOENIX,AZ,85006,AKO,Adult Kidney Only,8/12/1977,8/18/2009,9/6/2023,AZGS,Y
039802,BANNER- UNIVERSITY  MEDICAL CENTER PHOENIX,1441 N 12TH,PHOENIX,AZ,85006,ALI,Adult Liver Only,7/5/2002,8/18/2009,9/6/2023,AZGS,Y
039802,BANNER- UNIVERSITY  MEDICAL CENTER PHOENIX,1441 N 12TH,PHOENIX,AZ,85006,APA,Adult Pancreas,8/12/1977,8/18/2009,9/6/2023,AZGS,Y
039803,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD, SUITE #500",PHOENIX,AZ,85013,AKO,Adult Kidney Only,12/10/2015,12/10/2015,5/3/2023,AZSJ,N
039803,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD, SUITE #500",PHOENIX,AZ,85013,ALI,Adult Liver Only,12/21/2016,12/21/2016,5/3/2023,AZSJ,N
039803,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD, SUITE #500",PHOENIX,AZ,85013,ALO,Adult Lung Only,9/17/2009,9/17/2009,5/3/2023,AZSJ,N
039804,PHOENIX CHILDRENS HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,PHO,Pediatric Heart Only,10/3/2012,10/3/2012,11/8/2023,AZCH,N
039804,PHOENIX CHILDRENS HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,PKO,Pediatric Kidney Only,11/26/2002,4/16/2010,11/8/2023,AZCH,Y
039804,PHOENIX CHILDRENS HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,PLI,Pediatric Liver,3/14/2013,3/14/2013,11/8/2023,AZCH,N
